# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
12

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,Fuselage,0,PBJPAYBZQU,0,0,0,9.997620270799091324e-01, 0.000000000000000000e+00, -2.181488503456112046e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.181488503456112046e-02, 0.000000000000000000e+00, 9.997620270799091324e-01, 0.000000000000000000e+00, -3.330000000000000071e+00, 0.000000000000000000e+00, 1.000000000000000056e-01, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,35,17
# x,y,z,u,w
-3.330000000000000071e+00, 1.110223024625156602e-17, 1.000000000000000056e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
-3.330000000000000071e+00, 0.000000000000000000e+00, 1.000000000000000056e-01, 0.000000000000000000e+00, 2.500000000000000000e-01
-3.330000000000000071e+00, 0.000000000000000000e+00, 1.000000000000000056e-01, 0.000000000000000000e+00, 5.000000000000000000e-01
-3.330000000000000071e+00, 2.775557561562891505e-18, 1.000000000000000056e-01, 0.000000000000000000e+00, 7.500000000000000000e-01
-3.330000000000000071e+00, 0.000000000000000000e+00, 1.000000000000000056e-01, 0.000000000000000000e+00, 1.000000000000000000e+00
-3.330000000000000071e+00, 0.000000000000000000e+00, 1.000000000000000056e-01, 0.000000000000000000e+00, 1.250000000000000000e+00
-3.330000000000000071e+00, 0.000000000000000000e+00, 1.000000000000000056e-01, 0.000000000000000000e+00, 1.500000000000000000e+00
-3.330000000000000071e+00, 0.000000000000000000e+00, 1.000000000000000056e-01, 0.000000000000000000e+00, 1.750000000000000000e+00
-3.330000000000000071e+00, -1.110223024625156602e-17, 1.000000000000000056e-01, 0.000000000000000000e+00, 2.000000000000000000e+00
-3.330000000000000071e+00, 0.000000000000000000e+00, 1.000000000000000056e-01, 0.000000000000000000e+00, 2.250000000000000000e+00
-3.330000000000000071e+00, -5.551115123125783010e-18, 1.000000000000000056e-01, 0.000000000000000000e+00, 2.500000000000000000e+00
-3.330000000000000071e+00, 0.000000000000000000e+00, 1.000000000000000056e-01, 0.000000000000000000e+00, 2.750000000000000000e+00
-3.330000000000000071e+00, 0.000000000000000000e+00, 1.000000000000000056e-01, 0.000000000000000000e+00, 3.000000000000000000e+00
-3.330000000000000071e+00, 0.000000000000000000e+00, 1.000000000000000056e-01, 0.000000000000000000e+00, 3.250000000000000000e+00
-3.330000000000000071e+00, 5.551115123125783010e-18, 1.000000000000000056e-01, 0.000000000000000000e+00, 3.500000000000000000e+00
-3.330000000000000071e+00, 0.000000000000000000e+00, 1.000000000000000056e-01, 0.000000000000000000e+00, 3.750000000000000000e+00
-3.330000000000000071e+00, 1.110223024625156602e-17, 1.000000000000000056e-01, 0.000000000000000000e+00, 4.000000000000000000e+00
-3.346138073057935536e+00, 2.137796071213103333e-01, 1.003521340067960732e-01, 5.000000000000000000e-01, 0.000000000000000000e+00
-3.344316225473654924e+00, 1.877824443020464917e-01, 3.836434392145009198e-02, 5.000000000000000000e-01, 2.500000000000000000e-01
-3.340723251782464320e+00, 1.303923319653969015e-01, 2.071081222581464334e-03, 5.000000000000000000e-01, 5.000000000000000000e-01
-3.336957008814285253e+00, 6.496426827200055265e-02, -1.064045746310189090e-02, 5.000000000000000000e-01, 7.500000000000000000e-01
-3.335211586504766679e+00, 7.462409534053322728e-17, -1.242906573396068519e-02, 5.000000000000000000e-01, 1.000000000000000000e+00
-3.336957008814285253e+00, -6.496426827200049714e-02, -1.064045746310193774e-02, 5.000000000000000000e-01, 1.250000000000000000e+00
-3.340723251782464320e+00, -1.303923319653967072e-01, 2.071081222581322087e-03, 5.000000000000000000e-01, 1.500000000000000000e+00
-3.344316225473654924e+00, -1.877824443020464917e-01, 3.836434392145004341e-02, 5.000000000000000000e-01, 1.750000000000000000e+00
-3.346138073057935536e+00, -2.137796071213103055e-01, 1.003521340067960732e-01, 5.000000000000000000e-01, 2.000000000000000000e+00
-3.345954051477606495e+00, -1.916102795295360761e-01, 1.638820745427232994e-01, 5.000000000000000000e-01, 2.250000000000000000e+00
-3.344955888174589553e+00, -1.355117126488018520e-01, 2.036098388519122782e-01, 5.000000000000000000e-01, 2.500000000000000000e+00
-3.343947904719255515e+00, -6.837175168280879012e-02, 2.193249550876876230e-01, 5.000000000000000000e-01, 2.750000000000000000e+00
-3.343479106563080450e+00, -3.002132030068767468e-18, 2.222108432606981765e-01, 5.000000000000000000e-01, 3.000000000000000000e+00
-3.343947904719255515e+00, 6.837175168280873461e-02, 2.193249550876876786e-01, 5.000000000000000000e-01, 3.250000000000000000e+00
-3.344955888174589553e+00, 1.355117126488018520e-01, 2.036098388519122504e-01, 5.000000000000000000e-01, 3.500000000000000000e+00
-3.345954051477606495e+00, 1.916102795295360761e-01, 1.638820745427233549e-01, 5.000000000000000000e-01, 3.750000000000000000e+00
-3.346138073057935536e+00, 2.137796071213103333e-01, 1.003521340067960732e-01, 5.000000000000000000e-01, 4.000000000000000000e+00
-3.295758150572513312e+00, 4.000000000000000777e-01, 9.925284018756629079e-02, 1.000000000000000000e+00, 0.000000000000000000e+00
-3.298310380027388522e+00, 3.563787149266938181e-01, -1.771417977776931774e-02, 1.000000000000000000e+00, 2.500000000000000000e-01
-3.299844316085473572e+00, 2.518164713976178692e-01, -8.801347406297096998e-02, 1.000000000000000000e+00, 5.000000000000000000e-01
-3.300397913616707424e+00, 1.273407404298105838e-01, -1.133844897312095146e-01, 1.000000000000000000e+00, 7.500000000000000000e-01
-3.300474882471877702e+00, 1.665334536937734811e-16, -1.169119224243059807e-01, 1.000000000000000000e+00, 1.000000000000000000e+00
-3.300397913616707424e+00, -1.273407404298103895e-01, -1.133844897312094591e-01, 1.000000000000000000e+00, 1.250000000000000000e+00
-3.299844316085473572e+00, -2.518164713976175362e-01, -8.801347406297121978e-02, 1.000000000000000000e+00, 1.500000000000000000e+00
-3.298310380027388522e+00, -3.563787149266938181e-01, -1.771417977776940100e-02, 1.000000000000000000e+00, 1.750000000000000000e+00
-3.295758150572513312e+00, -4.000000000000000777e-01, 9.925284018756629079e-02, 1.000000000000000000e+00, 2.000000000000000000e+00
-3.293205921117638102e+00, -3.563787149266938736e-01, 2.162198601529018716e-01, 1.000000000000000000e+00, 2.250000000000000000e+00
-3.291671985059552608e+00, -2.518164713976175917e-01, 2.865191544381037181e-01, 1.000000000000000000e+00, 2.500000000000000000e+00
-3.291118387528318756e+00, -1.273407404298103063e-01, 3.118901701063420129e-01, 1.000000000000000000e+00, 2.750000000000000000e+00
-3.291041418673148478e+00, 0.000000000000000000e+00, 3.154176027994385345e-01, 1.000000000000000000e+00, 3.000000000000000000e+00
-3.291118387528318756e+00, 1.273407404298102230e-01, 3.118901701063420684e-01, 1.000000000000000000e+00, 3.250000000000000000e+00
-3.291671985059552608e+00, 2.518164713976174807e-01, 2.865191544381036626e-01, 1.000000000000000000e+00, 3.500000000000000000e+00
-3.293205921117638102e+00, 3.563787149266938181e-01, 2.162198601529019271e-01, 1.000000000000000000e+00, 3.750000000000000000e+00
-3.295758150572513312e+00, 4.000000000000000777e-01, 9.925284018756629079e-02, 1.000000000000000000e+00, 4.000000000000000000e+00
-3.166616895148188338e+00, 4.631957164284301598e-01, 6.048505483948965478e-02, 1.333333333333333259e+00, 0.000000000000000000e+00
-3.176184047109199327e+00, 4.232761744153849537e-01, -9.141652904825450787e-02, 1.333333333333333259e+00, 2.500000000000000000e-01
-3.189471553512756241e+00, 3.150257319725776606e-01, -2.017868689781446012e-01, 1.333333333333333259e+00, 5.000000000000000000e-01
-3.201292330784854645e+00, 1.625629066456188432e-01, -2.482184608571069984e-01, 1.333333333333333259e+00, 7.500000000000000000e-01
-3.206374670356816559e+00, 1.364493555780833567e-16, -2.557440100079155232e-01, 1.333333333333333259e+00, 1.000000000000000000e+00
-3.201292330784854645e+00, -1.625629066456187322e-01, -2.482184608571070261e-01, 1.333333333333333259e+00, 1.250000000000000000e+00
-3.189471553512756241e+00, -3.150257319725774940e-01, -2.017868689781447955e-01, 1.333333333333333259e+00, 1.500000000000000000e+00
-3.176184047109199327e+00, -4.232761744153849537e-01, -9.141652904825442461e-02, 1.333333333333333259e+00, 1.750000000000000000e+00
-3.166616895148188338e+00, -4.631957164284301598e-01, 6.048505483948965478e-02, 1.333333333333333259e+00, 2.000000000000000000e+00
-3.163842625330194558e+00, -4.228214300992133579e-01, 2.123464538441527105e-01, 1.333333333333333259e+00, 2.250000000000000000e+00
-3.166197154445891560e+00, -3.157151986595147508e-01, 3.239361411023539694e-01, 1.333333333333333259e+00, 2.500000000000000000e+00
-3.170822982433197712e+00, -1.640885880845045497e-01, 3.737211659451753487e-01, 1.333333333333333259e+00, 2.750000000000000000e+00
-3.173438843016634703e+00, -1.032204701545730536e-17, 3.834853749299477754e-01, 1.333333333333333259e+00, 3.000000000000000000e+00
-3.170822982433197712e+00, 1.640885880845044942e-01, 3.737211659451754042e-01, 1.333333333333333259e+00, 3.250000000000000000e+00
-3.166197154445891560e+00, 3.157151986595146953e-01, 3.239361411023538584e-01, 1.333333333333333259e+00, 3.500000000000000000e+00
-3.163842625330195002e+00, 4.228214300992131358e-01, 2.123464538441527383e-01, 1.333333333333333259e+00, 3.750000000000000000e+00
-3.166616895148188338e+00, 4.631957164284301598e-01, 6.048505483948965478e-02, 1.333333333333333259e+00, 4.000000000000000000e+00
-2.998561904121478161e+00, 4.931070515594918602e-01, -4.257285441146241300e-02, 1.666666666666666519e+00, 0.000000000000000000e+00
-3.004676651879755855e+00, 4.571915542412515188e-01, -2.289805222986822375e-01, 1.666666666666666519e+00, 2.500000000000000000e-01
-3.010800014490385479e+00, 3.566801283964561864e-01, -3.804448120404551048e-01, 1.666666666666666519e+00, 5.000000000000000000e-01
-3.013916931250164577e+00, 1.813037101543140128e-01, -4.292102052042288673e-01, 1.666666666666666519e+00, 7.500000000000000000e-01
-3.014596811409901100e+00, 3.310323065676520563e-17, -4.267167072053881793e-01, 1.666666666666666519e+00, 1.000000000000000000e+00
-3.013916931250164577e+00, -1.813037101543142349e-01, -4.292102052042290339e-01, 1.666666666666666519e+00, 1.250000000000000000e+00
-3.010800014490385479e+00, -3.566801283964563529e-01, -3.804448120404550493e-01, 1.666666666666666519e+00, 1.500000000000000000e+00
-3.004676651879755855e+00, -4.571915542412515188e-01, -2.289805222986817657e-01, 1.666666666666666519e+00, 1.750000000000000000e+00
-2.998561904121478161e+00, -4.931070515594918602e-01, -4.257285441146241300e-02, 1.666666666666666519e+00, 2.000000000000000000e+00
-2.994826186838247750e+00, -4.708534125237564538e-01, 1.495469980851487080e-01, 1.666666666666666519e+00, 2.250000000000000000e+00
-2.993584668126648030e+00, -3.767839029475595902e-01, 3.155660959037852598e-01, 1.666666666666666519e+00, 2.500000000000000000e+00
-2.994936566458156424e+00, -1.961423669737407116e-01, 3.801526527532938515e-01, 1.666666666666666519e+00, 2.750000000000000000e+00
-2.996172003491665237e+00, -3.870533059534554829e-18, 3.847776231480993792e-01, 1.666666666666666519e+00, 3.000000000000000000e+00
-2.994936566458156424e+00, 1.961423669737406839e-01, 3.801526527532938515e-01, 1.666666666666666519e+00, 3.250000000000000000e+00
-2.993584668126648030e+00, 3.767839029475598123e-01, 3.155660959037849822e-01, 1.666666666666666519e+00, 3.500000000000000000e+00
-2.994826186838248194e+00, 4.708534125237562318e-01, 1.495469980851486802e-01, 1.666666666666666519e+00, 3.750000000000000000e+00
-2.998561904121478161e+00, 4.931070515594918602e-01, -4.257285441146241300e-02, 1.666666666666666519e+00, 4.000000000000000000e+00
-2.812664177339541993e+00, 5.000000000000000000e-01, -8.257907037012146567e-02, 2.000000000000000000e+00, 0.000000000000000000e+00
-2.817086557090685783e+00, 4.785739821686776363e-01, -2.852538650122105057e-01, 2.000000000000000000e+00, 2.500000000000000000e-01
-2.821049786194597786e+00, 3.908321594323059811e-01, -4.668860834003476512e-01, 2.000000000000000000e+00, 5.000000000000000000e-01
-2.822556163597948142e+00, 2.040466001349222624e-01, -5.359223824197896224e-01, 2.000000000000000000e+00, 7.500000000000000000e-01
-2.822628273476949889e+00, 0.000000000000000000e+00, -5.392271313877016192e-01, 2.000000000000000000e+00, 1.000000000000000000e+00
